horizon,fold,iso3,year,y_true,oracle_config,oracle_error,eco_only_error,uniform_error,oracle_is_not_eco,oracle_improvement_over_eco,error_eco_only,error_eco_pol,error_eco_env,error_eco_human,error_full_quad
5,2,ARG,2011,-0.06097998097538948,full_quad,0.10861300653292634,0.12769597754489484,0.1247218355782522,True,0.0190829710119685,0.12769597754489484,0.12702169289418763,0.15121869653572795,0.10905980438352421,0.10861300653292634
5,2,ARG,2012,-0.02186976745724678,eco_human,0.05230552091542505,0.06710226275746939,0.06681603423879849,True,0.01479674184204434,0.06710226275746939,0.062414393962050604,0.09729831567047947,0.05230552091542505,0.05495967788856791
5,2,ARG,2013,-0.07112784683704376,eco_human,0.13305472085747228,0.14143488457269282,0.14641745767755704,True,0.008380163715220545,0.14143488457269282,0.1437969019179915,0.16923626947626536,0.13305472085747228,0.1445645115633632
5,2,ARG,2014,-0.06483165174722672,eco_human,0.1186285725546751,0.14056246431569455,0.14583456904191733,True,0.021933891761019453,0.14056246431569455,0.13512299120239107,0.17994707059690807,0.1186285725546751,0.15491174653991793
5,2,ARM,2011,0.18275858461856842,eco_human,0.033318889753694125,0.06841616650306634,0.05587609564983115,True,0.035097276749372214,0.06841616650306634,0.06464727099600731,0.07181429921240864,0.033318889753694125,0.041183851783979375
5,2,ARM,2012,0.18540367484092712,eco_human,0.012342584895079584,0.06805510607874174,0.0454558056106566,True,0.055712521183662156,0.06805510607874174,0.06417892547472369,0.06475572358595585,0.012342584895079584,0.01794668801878213
5,2,ARM,2013,0.2099461406469345,full_quad,0.0636765663391885,0.10207426658866436,0.08504238608472359,True,0.03839770024947586,0.10207426658866436,0.09907808067230622,0.09519103877447287,0.06519197804898591,0.0636765663391885
5,2,ARM,2014,0.24707894027233124,full_quad,0.02467047868937594,0.06053325401177029,0.04586276160619834,True,0.03586277532239435,0.06053325401177029,0.05724147771752042,0.052435557395307864,0.03443304021701726,0.02467047868937594
5,2,AUS,2011,0.055694084614515305,full_quad,0.006084629572019759,0.016706211422675102,0.007677725173162106,True,0.010621581850655343,0.016706211422675102,0.008043729150721227,0.010612727095871924,0.018166782816266394,0.006084629572019759
5,2,AUS,2012,0.04254799336194992,eco_human,0.012311931206780605,0.017168820261651382,0.01943087399004323,True,0.004856889054870778,0.017168820261651382,0.01815516872778708,0.031122604868786277,0.012311931206780605,0.01839584488521081
5,2,AUS,2013,0.05143752694129944,full_quad,0.001301293824228611,0.0016999040567578158,0.002130816762580201,True,0.00039861023252920486,0.0016999040567578158,0.0032153927461778184,0.02164790337646183,0.010779624698369461,0.001301293824228611
5,2,AUS,2014,0.04414745420217514,eco_only,0.003899014131614649,0.003899014131614649,0.0041084697528923145,False,0.0,0.003899014131614649,0.006258387207462329,0.017736564178406605,0.02611980479765903,0.022316509484286134
5,2,AUT,2011,0.005479472689330578,eco_only,0.005294544244416471,0.005294544244416471,0.005319842469560292,False,0.0,0.005294544244416471,0.00984561756976374,0.006294515887067042,0.01054407035112893,0.007209496069559359
5,2,AUT,2012,0.020919015631079674,eco_env,0.006629844173490589,0.00709538960940578,0.01591461241318748,True,0.0004655454359151906,0.00709538960940578,0.018501504661395524,0.006629844173490589,0.025728349323936764,0.021617974297708745
5,2,AUT,2013,0.04843945428729057,full_quad,0.03188419112598951,0.05122313638639354,0.04187852011703054,True,0.019338945260404028,0.05122313638639354,0.05089645825136552,0.03594339619895991,0.03944541862244424,0.03188419112598951
5,2,AUT,2014,0.06056029349565506,eco_env,0.04856775488503266,0.04962882509117811,0.05530511415384616,True,0.0010610702061454452,0.04962882509117811,0.0496083298833111,0.04856775488503266,0.06574054549323227,0.06298011541647665
5,2,AZE,2011,0.023706652224063873,full_quad,0.11701002902878113,0.11954919576919804,0.12347939765085897,True,0.002539166740416904,0.11954919576919804,0.1248124698284444,0.12004949228899692,0.1359758013388743,0.11701002902878113
5,2,AZE,2012,0.006923333276063204,eco_pol,0.12082473963589158,0.12244457588407481,0.14785717688361558,True,0.0016198362481832373,0.12244457588407481,0.12082473963589158,0.1232974974471252,0.19301000083635583,0.17970907061463048
5,2,AZE,2013,-0.03070691041648388,eco_env,0.14993448677536242,0.15541232897340646,0.17093046246151145,True,0.005477842198044036,0.15541232897340646,0.1560186646003533,0.14993448677536242,0.20146274936646033,0.1918240825919747
5,2,AZE,2014,-0.020457906648516655,eco_env,0.09684969411493088,0.09757094929004728,0.12378465806028634,True,0.0007212551751163976,0.09757094929004728,0.10656328516286304,0.09684969411493088,0.16477669389314992,0.15316266784044058
5,2,BDI,2011,0.014912668615579605,eco_human,0.004112618635541708,0.022552726113208216,0.017051475270812064,True,0.018440107477666508,0.022552726113208216,0.02481179120510494,0.019777154060850607,0.004112618635541708,0.01400308633935489
5,2,BDI,2012,0.021415740251541138,eco_human,0.029524819893557493,0.03514191151348925,0.036036056572827636,True,0.005617091619931756,0.03514191151348925,0.041129986994023815,0.04180989950878185,0.029524819893557493,0.03257366495428578
5,2,BDI,2013,0.031123604625463486,eco_human,0.005488493599442187,0.0205073238609094,0.020146501086779803,True,0.015018830261467213,0.0205073238609094,0.029793824809003562,0.03232839437142532,0.005488493599442187,0.012614468793118519
5,2,BDI,2014,0.03428635001182556,full_quad,0.012560480660140413,0.027035650129580882,0.023292750531553698,True,0.014475169469440469,0.027035650129580882,0.03186555338175778,0.028586337388143646,0.016415731098145765,0.012560480660140413
5,2,BEL,2011,0.023006977513432503,eco_env,0.012680449078316164,0.03446618813857123,0.04383583458720884,True,0.02178573906025507,0.03446618813857123,0.04678514488237294,0.012680449078316164,0.06826552172889913,0.056981869107884726
5,2,BEL,2012,0.037844739854335785,eco_only,0.009624896460601648,0.009624896460601648,0.0022089104427787387,False,0.0,0.009624896460601648,0.01900282183384349,0.014346969167714746,0.012078503675390071,0.015314700588226753
5,2,BEL,2013,0.05350932851433754,eco_env,0.023419455996417066,0.03288597413663673,0.03535500929758843,True,0.009466518140219662,0.03288597413663673,0.04160675062157945,0.023419455996417066,0.04705071440276065,0.03181215133054825
5,2,BEL,2014,0.0592031329870224,eco_env,0.02056757566591754,0.025221937737451017,0.030410522887823317,True,0.004654362071533476,0.025221937737451017,0.027364253306929043,0.02056757566591754,0.043732930848364486,0.03516591688045448
5,2,BEN,2011,0.08105030655860901,eco_pol,0.01979630848325248,0.0214881830134823,0.0241720293916078,True,0.0016918745302298213,0.0214881830134823,0.01979630848325248,0.0247397982279755,0.02434451296988864,0.03049134426344008
5,2,BEN,2012,0.09009022265672684,eco_pol,0.020349471978109157,0.021163347722169268,0.026870501391011048,True,0.0008138757440601108,0.021163347722169268,0.020349471978109157,0.026569141383744777,0.03352749136465148,0.03274305450638055
5,2,BEN,2013,0.08682128041982651,full_quad,0.006861304098198934,0.02175768335119807,0.013105213189648038,True,0.014896379252999137,0.02175768335119807,0.014529338776086587,0.008240785753288987,0.014136953969467625,0.006861304098198934
