horizon,fold,train_end,test_start,test_end,n_train,n_opt_train,n_opt_val,n_test,model,mae,rmse,dir_acc,skill_vs_naive,skill_vs_ar1
5,2,2010,2011,2014,10208,9334,874,876,ensemble_lgbm_prior,0.07290183828888877,0.1167314882737861,0.8264840182648402,0.015662521181663558,-0.046569240287436475
5,2,2010,2011,2014,10208,9334,874,876,ensemble_lgbm_ridge_prior,0.07678863679318897,0.11954870553034479,0.815068493150685,-0.03681793102911235,-0.10236761044205833
5,2,2010,2011,2014,10208,9334,874,876,ensemble_lgbm_catboost_xgboost,0.07702514790324624,0.1292604884302919,0.8207762557077626,-0.040011358729299396,-0.10576293295493255
5,2,2010,2011,2014,10208,9334,874,876,ensemble_lgbm_cat_xgb_ridge_prior,0.07435622530191946,0.12223078245168495,0.8264840182648402,-0.003974948589122063,-0.06744822972086806
5,2,2010,2011,2014,10208,9334,874,876,ensemble_lgbm_hb,0.09489048833433937,0.14815166487890857,0.7705479452054794,-0.2812333165143308,-0.3622354198125828
5,1,2014,2015,2018,11084,10208,876,869,naive_persistence,0.09180232137441635,0.14344161748886108,0.7652474108170311,0.0,-0.09851217269897461
5,1,2014,2015,2018,11084,10208,876,869,ar1_lag1_honest,0.08356969058513641,0.1343158632516861,0.762945914844649,0.08967781066894531,0.0
5,1,2014,2015,2018,11084,10208,876,869,ridge,0.11751995980739594,0.17142018675804138,0.6329113924050633,-0.2801414728164673,-0.4062509536743164
5,1,2014,2015,2018,11084,10208,876,869,lgbm,0.11521830181929245,0.1734786683765704,0.6455696202531646,-0.2550695896825297,-0.37870920680164644
5,1,2014,2015,2018,11084,10208,876,869,catboost,0.098171221066796,0.14964665019104326,0.6823935558112774,-0.06937623795376657,-0.1747228017648852
5,1,2014,2015,2018,11084,10208,876,869,xgboost,0.1009991466999054,0.15397125482559204,0.6777905638665133,-0.1001807451248169,-0.20856189727783203
5,1,2014,2015,2018,11084,10208,876,869,hb_country,0.1445426344871521,0.22623500227928162,0.6237054085155351,-0.5744986534118652,-0.7296059131622314
5,1,2014,2015,2018,11084,10208,876,869,ensemble_lgbm_prior,0.09879254246208424,0.1513192328148232,0.6927502876869965,-0.07614427372874633,-0.18215757136781052
5,1,2014,2015,2018,11084,10208,876,869,ensemble_lgbm_ridge_prior,0.09354060125473061,0.14434329302360221,0.6927502876869965,-0.01893503186291645,-0.11931252347328436
5,1,2014,2015,2018,11084,10208,876,869,ensemble_lgbm_catboost_xgboost,0.10261809892088145,0.15701939139132312,0.6720368239355581,-0.1178159482738228,-0.22793441261266256
5,1,2014,2015,2018,11084,10208,876,869,ensemble_lgbm_cat_xgb_ridge_prior,0.0965190651684395,0.14923451313101396,0.6869965477560415,-0.051379352105769494,-0.15495300380597854
5,1,2014,2015,2018,11084,10208,876,869,ensemble_lgbm_hb,0.1143403985288552,0.17266206782710808,0.6271576524741082,-0.24550661483294256,-0.368204162636826
5,0,2018,2019,2022,11953,11084,869,213,naive_persistence,0.03256968408823013,0.06322963535785675,0.892018779342723,0.0,0.10224813222885132
5,0,2018,2019,2022,11953,11084,869,213,ar1_lag1_honest,0.036279160529375076,0.07190266996622086,0.8967136150234741,-0.11389350891113281,0.0
5,0,2018,2019,2022,11953,11084,869,213,ridge,0.10789643973112106,0.18797549605369568,0.6384976525821596,-2.3127875328063965,-1.9740610122680664
5,0,2018,2019,2022,11953,11084,869,213,lgbm,0.09170342841079801,0.1740666113498628,0.7276995305164319,-1.8156069356514677,-1.5277163824269349
5,0,2018,2019,2022,11953,11084,869,213,catboost,0.0684288212690615,0.152128810121863,0.784037558685446,-1.1009973902015817,-0.8861743290243715
5,0,2018,2019,2022,11953,11084,869,213,xgboost,0.06258856505155563,0.15005484223365784,0.8169014084507042,-0.9216816425323486,-0.7251932621002197
5,0,2018,2019,2022,11953,11084,869,213,hb_country,0.13339726626873016,0.22225232422351837,0.6854460093896714,-3.0957493782043457,-2.676966667175293
5,0,2018,2019,2022,11953,11084,869,213,ensemble_lgbm_prior,0.06679137737779145,0.13225437618415795,0.7746478873239436,-1.0507222973626624,-0.8410397705787809
5,0,2018,2019,2022,11953,11084,869,213,ensemble_lgbm_ridge_prior,0.06494546079425688,0.12973789636082303,0.8028169014084507,-0.9940463843100811,-0.790158863837845
5,0,2018,2019,2022,11953,11084,869,213,ensemble_lgbm_catboost_xgboost,0.06909911370034252,0.15529919539675074,0.7511737089201878,-1.1215776460451825,-0.9046502921255104
5,0,2018,2019,2022,11953,11084,869,213,ensemble_lgbm_cat_xgb_ridge_prior,0.06465772981985723,0.14197755918350416,0.7699530516431925,-0.9852120654502423,-0.7822278375902374
5,0,2018,2019,2022,11953,11084,869,213,ensemble_lgbm_hb,0.09901910942999963,0.17709543532765573,0.6807511737089202,-2.0402232076233937,-1.7293660598851037
