horizon,fold,train_end,test_start,test_end,n_train,n_opt_train,n_opt_val,n_test,model,mae,rmse,dir_acc,skill_vs_naive,skill_vs_ar1
3,3,2007,2008,2011,9568,8701,867,876,lgbm,0.07376527473383404,0.11424863580883929,0.7363013698630136,-0.048222316646306274,-0.16401568527406063
3,3,2007,2008,2011,9568,8701,867,876,catboost,0.06649880727578557,0.10562206594722788,0.7351598173515982,0.05503593569796272,-0.0493508632663906
3,3,2007,2008,2011,9568,8701,867,876,xgboost,0.0638488382101059,0.10443531721830368,0.7557077625570776,0.09269261360168457,-0.007534384727478027
3,3,2007,2008,2011,9568,8701,867,876,hb_country,0.1085485890507698,0.17564557492733002,0.6792237442922374,-0.5425015687942505,-0.7128962278366089
3,3,2007,2008,2011,9568,8701,867,876,ensemble_lgbm_prior,0.0627095414717264,0.10257784332586989,0.7671232876712328,0.10888231522886804,0.010443733141103029
3,3,2007,2008,2011,9568,8701,867,876,ensemble_lgbm_ridge_prior,0.06363761842933313,0.10377999373111729,0.7636986301369864,0.09569411818034035,-0.004201316846085046
3,3,2007,2008,2011,9568,8701,867,876,ensemble_lgbm_catboost_xgboost,0.06617528908615578,0.10616483954825742,0.7385844748858448,0.05963320707578379,-0.04424574776916845
3,3,2007,2008,2011,9568,8701,867,876,ensemble_lgbm_cat_xgb_ridge_prior,0.06283433435195138,0.10330589803320528,0.7648401826484018,0.10710897835074495,0.008474502083311353
3,3,2007,2008,2011,9568,8701,867,876,ensemble_lgbm_hb,0.08119708915630516,0.12482837285531337,0.7134703196347032,-0.1538301891705709,-0.2812896815957271
3,2,2011,2012,2015,10444,9568,876,876,naive_persistence,0.06819922477006912,0.11618446558713913,0.7648401826484018,0.0,-0.12449884414672852
3,2,2011,2012,2015,10444,9568,876,876,ar1_lag1_honest,0.06064854934811592,0.10178380459547043,0.7899543378995434,0.11071497201919556,0.0
3,2,2011,2012,2015,10444,9568,876,876,ridge,0.0777326375246048,0.11692112684249878,0.6929223744292238,-0.1397876739501953,-0.28169000148773193
3,2,2011,2012,2015,10444,9568,876,876,lgbm,0.05833921879677856,0.09749320766163001,0.7968036529680366,0.1445765110458831,0.038077259491930526
3,2,2011,2012,2015,10444,9568,876,876,catboost,0.05695853767052326,0.09746131841827237,0.8013698630136986,0.1648213324629917,0.060842538152271475
3,2,2011,2012,2015,10444,9568,876,876,xgboost,0.05722841992974281,0.09562893211841583,0.7922374429223744,0.16086405515670776,0.0563926100730896
3,2,2011,2012,2015,10444,9568,876,876,hb_country,0.08619281649589539,0.14648430049419403,0.7420091324200914,-0.26383864879608154,-0.42118513584136963
3,2,2011,2012,2015,10444,9568,876,876,ensemble_lgbm_prior,0.056485774161556396,0.0949182259662192,0.7990867579908676,0.17175342752068135,0.06863767116119557
3,2,2011,2012,2015,10444,9568,876,876,ensemble_lgbm_ridge_prior,0.05902799040849813,0.09714969593812603,0.7819634703196348,0.13447710575144267,0.026720489723768392
3,2,2011,2012,2015,10444,9568,876,876,ensemble_lgbm_catboost_xgboost,0.05636474532850582,0.09592841105919331,0.7990867579908676,0.17352806401337784,0.07063324787904723
3,2,2011,2012,2015,10444,9568,876,876,ensemble_lgbm_cat_xgb_ridge_prior,0.05589395082720827,0.0947945313054517,0.8127853881278538,0.1804312876626908,0.07839591502208543
3,2,2011,2012,2015,10444,9568,876,876,ensemble_lgbm_hb,0.06350798146928843,0.10328850051156911,0.773972602739726,0.06878734056870917,-0.047147576519261714
3,1,2015,2016,2019,11320,10444,876,875,naive_persistence,0.08104832470417023,0.1421828269958496,0.6731428571428572,0.0,-0.105277419090271
3,1,2015,2016,2019,11320,10444,876,875,ar1_lag1_honest,0.07332848757505417,0.13001172244548798,0.6617142857142857,0.09524983167648315,0.0
3,1,2015,2016,2019,11320,10444,876,875,ridge,0.08884019404649734,0.135529026389122,0.5931428571428572,-0.096138596534729,-0.21153724193572998
3,1,2015,2016,2019,11320,10444,876,875,lgbm,0.08043832108843786,0.13018983364307338,0.5862857142857143,0.007526418565206638,-0.0969586820689099
3,1,2015,2016,2019,11320,10444,876,875,catboost,0.07586653198687943,0.12300548977991677,0.6137142857142858,0.06393460612794355,-0.0346119836336114
3,1,2015,2016,2019,11320,10444,876,875,xgboost,0.07913976162672043,0.12841001152992249,0.6022857142857143,0.023548483848571777,-0.07924985885620117
3,1,2015,2016,2019,11320,10444,876,875,hb_country,0.10454675555229187,0.16343972086906433,0.5588571428571428,-0.289931058883667,-0.4257317781448364
3,1,2015,2016,2019,11320,10444,876,875,ensemble_lgbm_prior,0.07638235767201429,0.12760040158442765,0.6297142857142857,0.05757018481488563,-0.04164643507524124
3,1,2015,2016,2019,11320,10444,876,875,ensemble_lgbm_ridge_prior,0.07579567168145715,0.12690790636184646,0.6377142857142857,0.06480890310670184,-0.03364564288712124
3,1,2015,2016,2019,11320,10444,876,875,ensemble_lgbm_catboost_xgboost,0.07738169663261242,0.126316071178178,0.6045714285714285,0.04524002297322183,-0.05527468507256006
3,1,2015,2016,2019,11320,10444,876,875,ensemble_lgbm_cat_xgb_ridge_prior,0.07548483101472762,0.12550663455355374,0.6308571428571429,0.06864415408646118,-0.02940662641468461
3,1,2015,2016,2019,11320,10444,876,875,ensemble_lgbm_hb,0.08394944984394832,0.13385726403488152,0.552,-0.03579500440468486,-0.1448408745376515
3,0,2019,2020,2023,12195,11320,875,426,naive_persistence,0.09658161550760269,0.15763238072395325,0.6690140845070423,0.0,-0.07079052925109863
3,0,2019,2020,2023,12195,11320,875,426,ar1_lag1_honest,0.09019654989242554,0.1417771726846695,0.7300469483568075,0.06611055135726929,0.0
3,0,2019,2020,2023,12195,11320,875,426,ridge,0.11473486572504044,0.1643301099538803,0.5727699530516432,-0.18795764446258545,-0.2720538377761841
3,0,2019,2020,2023,12195,11320,875,426,lgbm,0.08528468962529932,0.13821882962934973,0.7934272300469484,0.11696766328591901,0.05445729657048337
3,0,2019,2020,2023,12195,11320,875,426,catboost,0.10420789475604672,0.15311130744770282,0.6009389671361502,-0.07896201785777435,-0.1553423593289549
3,0,2019,2020,2023,12195,11320,875,426,xgboost,0.10001020133495331,0.14790016412734985,0.6103286384976526,-0.03549933433532715,-0.1088029146194458
3,0,2019,2020,2023,12195,11320,875,426,hb_country,0.10191911458969116,0.164256751537323,0.7723004694835681,-0.05526411533355713,-0.1299668550491333
3,0,2019,2020,2023,12195,11320,875,426,ensemble_lgbm_prior,0.08158706382155145,0.1323406441710444,0.8427230046948356,0.15525264934992622,0.09545249880557882
3,0,2019,2020,2023,12195,11320,875,426,ensemble_lgbm_ridge_prior,0.09020590948353206,0.1396348633594979,0.7065727699530516,0.06601366099088235,-0.00010376883725249364
3,0,2019,2020,2023,12195,11320,875,426,ensemble_lgbm_catboost_xgboost,0.09392270508257873,0.1440147701942114,0.6995305164319249,0.02753019206657048,-0.04131150464842892
3,0,2019,2020,2023,12195,11320,875,426,ensemble_lgbm_cat_xgb_ridge_prior,0.09168959209620092,0.1409886145711334,0.704225352112676,0.05065170411253561,-0.01655320747363498
3,0,2019,2020,2023,12195,11320,875,426,ensemble_lgbm_hb,0.08751508819547611,0.14092735480135352,0.7981220657276995,0.09387425613534994,0.029729093852786104
