target_variable,feature_name,importance
co2_emissions_per_capita_target_h1,forest_area_pct_land,93.8
co2_emissions_per_capita_target_h1,greenhouse_gas_total_kt,86.0
co2_emissions_per_capita_target_h1,renewable_energy_pct_share,73.2
co2_emissions_per_capita_target_h1,temp_anomaly_celsius,71.2
co2_emissions_per_capita_target_h1,gdp_pc_real_usd_logret5,61.2
co2_emissions_per_capita_target_h1,co2_emissions_per_capita,60.0
co2_emissions_per_capita_target_h1,protected_area_pct,58.6
co2_emissions_per_capita_target_h1,disaster_economic_damage_usd,37.6
co2_emissions_per_capita_target_h1,news_tone_annual_mean,30.6
co2_emissions_per_capita_target_h1,inflation_rate,25.8
co2_emissions_per_capita_target_h1,disaster_economic_damage_usd_roll_mean_10y,24.4
co2_emissions_per_capita_target_h1,goldstein_annual_mean,23.0
co2_emissions_per_capita_target_h1,gov_debt_gdp,21.8
co2_emissions_per_capita_target_h1,goldstein_annual_std,20.4
co2_emissions_per_capita_target_h1,current_account_gdp,18.8
co2_emissions_per_capita_target_h1,stability_momentum_annual_mean,15.4
co2_emissions_per_capita_target_h1,protest_unrest_annual_sum,13.2
co2_emissions_per_capita_target_h1,gov_deficit_gdp,12.6
co2_emissions_per_capita_target_h1,investment_gdp,11.8
co2_emissions_per_capita_target_h1,unemployment_rate,11.6
co2_emissions_per_capita_target_h1,conflict_intensity_annual_mean,11.4
co2_emissions_per_capita_target_h1,exports_gdp,9.2
co2_emissions_per_capita_target_h1,wildfires_count,8.2
co2_emissions_per_capita_target_h1,extreme_temp_count,7.4
co2_emissions_per_capita_target_h1,floods_count,6.0
co2_emissions_per_capita_target_h1,storms_count,3.4
co2_emissions_per_capita_target_h1,material_conflict_annual_sum,3.2
co2_emissions_per_capita_target_h1,droughts_count,2.4
co2_emissions_per_capita_target_h1,sanctions_coercion_annual_sum,1.8
co2_emissions_per_capita_target_h1,verbal_conflict_annual_sum,0.4
co2_emissions_per_capita_target_h1,banking_crisis,0.0
co2_emissions_per_capita_target_h1,currency_crisis,0.0
co2_emissions_per_capita_target_h1,sov_debt_crisis,0.0
co2_emissions_per_capita_target_h5,co2_emissions_per_capita_roll_mean_10y,216.0
co2_emissions_per_capita_target_h5,temp_anomaly_celsius_roll_mean_10y,194.0
co2_emissions_per_capita_target_h5,greenhouse_gas_total_kt,121.8
co2_emissions_per_capita_target_h5,protected_area_pct,120.8
co2_emissions_per_capita_target_h5,co2_emissions_per_capita,102.6
co2_emissions_per_capita_target_h5,forest_area_pct_land,91.8
co2_emissions_per_capita_target_h5,temp_anomaly_celsius,78.8
co2_emissions_per_capita_target_h5,renewable_energy_pct_share,57.4
co2_emissions_per_capita_target_h5,gdp_pc_real_usd_logret5,46.4
co2_emissions_per_capita_target_h5,gov_deficit_gdp,36.6
co2_emissions_per_capita_target_h5,energy_use_per_capita,36.2
co2_emissions_per_capita_target_h5,news_tone_annual_mean,31.6
co2_emissions_per_capita_target_h5,disaster_economic_damage_usd_roll_mean_10y,29.4
co2_emissions_per_capita_target_h5,inflation_rate,27.4
co2_emissions_per_capita_target_h5,goldstein_annual_std,27.4
co2_emissions_per_capita_target_h5,disaster_economic_damage_usd,27.2
co2_emissions_per_capita_target_h5,goldstein_annual_mean,23.0
co2_emissions_per_capita_target_h5,conflict_intensity_annual_mean,17.8
co2_emissions_per_capita_target_h5,exports_gdp,17.2
co2_emissions_per_capita_target_h5,storms_count,13.6
co2_emissions_per_capita_target_h5,current_account_gdp,13.6
co2_emissions_per_capita_target_h5,stability_momentum_annual_mean,13.2
co2_emissions_per_capita_target_h5,investment_gdp,12.6
co2_emissions_per_capita_target_h5,gov_debt_gdp,10.0
co2_emissions_per_capita_target_h5,protest_unrest_annual_sum,9.8
co2_emissions_per_capita_target_h5,unemployment_rate,6.4
co2_emissions_per_capita_target_h5,floods_count,5.8
co2_emissions_per_capita_target_h5,sanctions_coercion_annual_sum,4.6
co2_emissions_per_capita_target_h5,material_conflict_annual_sum,4.0
co2_emissions_per_capita_target_h5,extreme_temp_count,1.2
co2_emissions_per_capita_target_h5,verbal_conflict_annual_sum,1.0
co2_emissions_per_capita_target_h5,wildfires_count,0.8
co2_emissions_per_capita_target_h5,banking_crisis,0.0
co2_emissions_per_capita_target_h5,droughts_count,0.0
co2_emissions_per_capita_target_h5,currency_crisis,0.0
co2_emissions_per_capita_target_h5,sov_debt_crisis,0.0
temp_anomaly_celsius_target_h1,co2_emissions_per_capita_roll_mean_10y,262.2
temp_anomaly_celsius_target_h1,temp_anomaly_celsius_roll_mean_10y,174.2
temp_anomaly_celsius_target_h1,renewable_energy_pct_share,109.8
temp_anomaly_celsius_target_h1,greenhouse_gas_total_kt,95.2
temp_anomaly_celsius_target_h1,forest_area_pct_land,90.2
temp_anomaly_celsius_target_h1,co2_emissions_per_capita,79.8
temp_anomaly_celsius_target_h1,energy_use_per_capita,76.0
temp_anomaly_celsius_target_h1,protected_area_pct,72.2
temp_anomaly_celsius_target_h1,investment_gdp,38.0
temp_anomaly_celsius_target_h1,temp_anomaly_celsius,36.6
temp_anomaly_celsius_target_h1,current_account_gdp,35.2
temp_anomaly_celsius_target_h1,disaster_economic_damage_usd_roll_mean_10y,31.4
temp_anomaly_celsius_target_h1,inflation_rate,29.2
temp_anomaly_celsius_target_h1,disaster_economic_damage_usd,24.0
temp_anomaly_celsius_target_h1,exports_gdp,22.8
temp_anomaly_celsius_target_h1,news_tone_annual_mean,22.4
temp_anomaly_celsius_target_h1,stability_momentum_annual_mean,22.4
temp_anomaly_celsius_target_h1,protest_unrest_annual_sum,22.0
temp_anomaly_celsius_target_h1,gdp_pc_real_usd_logret5,20.4
temp_anomaly_celsius_target_h1,gov_deficit_gdp,20.0
temp_anomaly_celsius_target_h1,storms_count,17.8
temp_anomaly_celsius_target_h1,unemployment_rate,16.8
temp_anomaly_celsius_target_h1,gov_debt_gdp,13.4
temp_anomaly_celsius_target_h1,material_conflict_annual_sum,11.6
temp_anomaly_celsius_target_h1,goldstein_annual_std,11.0
temp_anomaly_celsius_target_h1,sanctions_coercion_annual_sum,9.8
temp_anomaly_celsius_target_h1,goldstein_annual_mean,7.8
temp_anomaly_celsius_target_h1,conflict_intensity_annual_mean,7.0
temp_anomaly_celsius_target_h1,wildfires_count,7.0
temp_anomaly_celsius_target_h1,floods_count,5.2
temp_anomaly_celsius_target_h1,verbal_conflict_annual_sum,3.8
temp_anomaly_celsius_target_h1,droughts_count,3.4
temp_anomaly_celsius_target_h1,extreme_temp_count,1.4
temp_anomaly_celsius_target_h1,banking_crisis,0.0
temp_anomaly_celsius_target_h1,currency_crisis,0.0
temp_anomaly_celsius_target_h1,sov_debt_crisis,0.0
disaster_economic_damage_usd_target_h1,current_account_gdp,101.0
disaster_economic_damage_usd_target_h1,co2_emissions_per_capita,100.0
disaster_economic_damage_usd_target_h1,inflation_rate,75.4
disaster_economic_damage_usd_target_h1,protected_area_pct,66.2
disaster_economic_damage_usd_target_h1,investment_gdp,62.4
disaster_economic_damage_usd_target_h1,disaster_economic_damage_usd_roll_mean_10y,62.0
disaster_economic_damage_usd_target_h1,news_tone_annual_mean,56.4
disaster_economic_damage_usd_target_h1,disaster_economic_damage_usd,52.2
disaster_economic_damage_usd_target_h1,renewable_energy_pct_share,51.0
disaster_economic_damage_usd_target_h1,goldstein_annual_std,50.8
disaster_economic_damage_usd_target_h1,gdp_pc_real_usd_logret5,48.4
disaster_economic_damage_usd_target_h1,protest_unrest_annual_sum,43.2
disaster_economic_damage_usd_target_h1,forest_area_pct_land,42.0
disaster_economic_damage_usd_target_h1,co2_emissions_per_capita_roll_mean_10y,41.8
disaster_economic_damage_usd_target_h1,exports_gdp,41.6
disaster_economic_damage_usd_target_h1,unemployment_rate,39.0
disaster_economic_damage_usd_target_h1,energy_use_per_capita,37.2
disaster_economic_damage_usd_target_h1,temp_anomaly_celsius,35.8
disaster_economic_damage_usd_target_h1,gov_debt_gdp,35.2
disaster_economic_damage_usd_target_h1,gov_deficit_gdp,35.2
disaster_economic_damage_usd_target_h1,temp_anomaly_celsius_roll_mean_10y,33.8
disaster_economic_damage_usd_target_h1,goldstein_annual_mean,33.6
disaster_economic_damage_usd_target_h1,conflict_intensity_annual_mean,33.4
disaster_economic_damage_usd_target_h1,greenhouse_gas_total_kt,29.8
disaster_economic_damage_usd_target_h1,droughts_count,21.2
disaster_economic_damage_usd_target_h1,stability_momentum_annual_mean,19.6
disaster_economic_damage_usd_target_h1,sanctions_coercion_annual_sum,14.2
disaster_economic_damage_usd_target_h1,verbal_conflict_annual_sum,14.2
disaster_economic_damage_usd_target_h1,storms_count,14.0
disaster_economic_damage_usd_target_h1,extreme_temp_count,13.0
disaster_economic_damage_usd_target_h1,floods_count,12.8
disaster_economic_damage_usd_target_h1,material_conflict_annual_sum,11.8
disaster_economic_damage_usd_target_h1,wildfires_count,8.6
disaster_economic_damage_usd_target_h1,banking_crisis,8.4
disaster_economic_damage_usd_target_h1,currency_crisis,0.0
disaster_economic_damage_usd_target_h1,sov_debt_crisis,0.0
