horizon,fold,config,model,n_test,mae,rmse,dir_acc
1,1,D_TwinEnhanced,naive_persistence,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,D_TwinEnhanced,ar1_honest,876,0.03017513081431389,0.05560141056776047,0.7385844748858448
1,1,D_TwinEnhanced,ridge,876,0.033196207135915756,0.050393011420965195,0.6598173515981736
1,1,D_TwinEnhanced,lgbm,876,0.022570827381056854,0.04190888011159028,0.7773972602739726
1,1,D_TwinEnhanced,xgboost,876,0.02239672839641571,0.04166067764163017,0.7808219178082192
1,1,D_TwinEnhanced,ensemble_lgbm_ridge_prior,876,0.023970354809335022,0.04208550057716419,0.769406392694064
1,1,D_TwinEnhanced,twin_enhanced_ensemble,876,0.023544343962207556,0.04159384787585336,0.771689497716895
1,2,D_TwinEnhanced,naive_persistence,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,D_TwinEnhanced,ar1_honest,876,0.038354407995939255,0.08010031282901764,0.7214611872146118
1,2,D_TwinEnhanced,ridge,876,0.03881377354264259,0.06378745287656784,0.6426940639269406
1,2,D_TwinEnhanced,lgbm,876,0.02721816727847384,0.05604009958916391,0.7488584474885844
1,2,D_TwinEnhanced,xgboost,876,0.02645678073167801,0.05535653606057167,0.7511415525114156
1,2,D_TwinEnhanced,ensemble_lgbm_ridge_prior,876,0.02866214178037989,0.05814829446781538,0.7442922374429224
1,2,D_TwinEnhanced,twin_enhanced_ensemble,876,0.027812419829367645,0.05667727080080162,0.7488584474885844
1,3,D_TwinEnhanced,naive_persistence,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,D_TwinEnhanced,ar1_honest,874,0.04579215496778488,0.07131204754114151,0.6395881006864989
1,3,D_TwinEnhanced,ridge,874,0.044264111667871475,0.06482335925102234,0.6155606407322655
1,3,D_TwinEnhanced,lgbm,874,0.035280295621784835,0.05601796833781032,0.6670480549199085
1,3,D_TwinEnhanced,xgboost,874,0.03621132671833038,0.057172998785972595,0.6784897025171625
1,3,D_TwinEnhanced,ensemble_lgbm_ridge_prior,874,0.03754557761061998,0.05944930649421725,0.6578947368421053
1,3,D_TwinEnhanced,twin_enhanced_ensemble,874,0.037662188075866826,0.059420282612371436,0.6624713958810069
1,4,D_TwinEnhanced,naive_persistence,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,D_TwinEnhanced,ar1_honest,866,0.0374947115778923,0.07224792242050171,0.7655889145496536
1,4,D_TwinEnhanced,ridge,866,0.03954948112368584,0.05930652469396591,0.6986143187066974
1,4,D_TwinEnhanced,lgbm,866,0.027633858552271115,0.04714587341692164,0.8602771362586605
1,4,D_TwinEnhanced,xgboost,866,0.028098445385694504,0.04745509847998619,0.8556581986143187
1,4,D_TwinEnhanced,ensemble_lgbm_ridge_prior,866,0.02936641316159627,0.051090838393697866,0.8163972286374134
1,4,D_TwinEnhanced,twin_enhanced_ensemble,866,0.029014860950783473,0.04950602318254048,0.812933025404157
3,0,A_EconOnly,naive_persistence,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,A_EconOnly,ar1_honest,644,0.09397055208683014,0.16352976858615875,0.6599378881987578
3,0,A_EconOnly,ridge,644,0.10136988013982773,0.15302330255508423,0.5993788819875776
3,0,A_EconOnly,lgbm,644,0.08343522322650106,0.13697183437457727,0.717391304347826
3,0,A_EconOnly,xgboost,644,0.0933343768119812,0.14485938847064972,0.5590062111801242
3,0,A_EconOnly,ensemble_lgbm_ridge_prior,644,0.08234014887680607,0.13637256493846442,0.6770186335403726
3,1,A_EconOnly,naive_persistence,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,A_EconOnly,ar1_honest,876,0.07253234833478928,0.1297904998064041,0.7157534246575342
3,1,A_EconOnly,ridge,876,0.08607271313667297,0.12988121807575226,0.6335616438356164
3,1,A_EconOnly,lgbm,876,0.0778768609042719,0.1228935461473985,0.6255707762557078
