horizon,config,model,n_folds,mae_mean,mae_std,rmse_mean,dir_acc_mean
3,D_TwinEnhanced,ridge,5,0.09513934552669526,0.0076929880683161995,0.13585509359836578,0.656949510606009
3,D_TwinEnhanced,twin_enhanced_ensemble,5,0.07042616638544023,0.010461120437837056,0.11046510502630694,0.7364226397202334
3,D_TwinEnhanced,xgboost,5,0.07044295743107795,0.011494805968617952,0.11188167333602905,0.7231085589068785
5,A_EconOnly,ar1_honest,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,A_EconOnly,ensemble_lgbm_ridge_prior,5,0.08275658841889391,0.011393949802097863,0.13112268547468536,0.7839756595265832
5,A_EconOnly,lgbm,5,0.0989492568328677,0.011744019495462537,0.15502578373727527,0.7360929512819302
5,A_EconOnly,naive_persistence,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,A_EconOnly,ridge,5,0.11793506890535355,0.008318332593785631,0.173880997300148,0.6662392302428637
5,A_EconOnly,xgboost,5,0.08363297134637833,0.014662457832517283,0.13980551064014435,0.7808178758719456
5,B_EconCrossDomain,ar1_honest,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,B_EconCrossDomain,ensemble_lgbm_ridge_prior,5,0.08524032921146152,0.010611391505073006,0.1326074991559862,0.7759869804573503
5,B_EconCrossDomain,lgbm,5,0.10079937080346993,0.012208405684523197,0.15719760777974517,0.7279555654354194
5,B_EconCrossDomain,naive_persistence,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,B_EconCrossDomain,ridge,5,0.12772933542728424,0.0058751848308831985,0.181985941529274,0.6753487166189336
5,B_EconCrossDomain,xgboost,5,0.08439001291990281,0.014410867066103826,0.1402682512998581,0.7794586097305789
5,C_TwoStageStack,ar1_honest,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,C_TwoStageStack,ensemble_lgbm_ridge_prior,5,0.08275658841889391,0.011393949802097863,0.13112268547468536,0.7839756595265832
5,C_TwoStageStack,lgbm,5,0.0989492568328677,0.011744019495462537,0.15502578373727527,0.7360929512819302
5,C_TwoStageStack,naive_persistence,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,C_TwoStageStack,ridge,5,0.11793506890535355,0.008318332593785631,0.173880997300148,0.6662392302428637
5,C_TwoStageStack,two_stage_stacking,5,0.1094689004876693,0.013775783269809702,0.1619887652647991,0.7511683177551008
5,C_TwoStageStack,xgboost,5,0.08363297134637833,0.014662457832517283,0.13980551064014435,0.7808178758719456
5,D_TwinEnhanced,ar1_honest,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,D_TwinEnhanced,ensemble_lgbm_ridge_prior,5,0.08524032921146152,0.010611391505073006,0.1326074991559862,0.7759869804573503
5,D_TwinEnhanced,lgbm,5,0.10079937080346993,0.012208405684523197,0.15719760777974517,0.7279555654354194
5,D_TwinEnhanced,naive_persistence,5,0.0734609067440033,0.024824193034202816,0.11962274760007859,0.8323645724361972
5,D_TwinEnhanced,ridge,5,0.12772933542728424,0.0058751848308831985,0.181985941529274,0.6753487166189336
5,D_TwinEnhanced,twin_enhanced_ensemble,5,0.08472225355567016,0.01129412400751543,0.13390100020288537,0.7827819877784904
5,D_TwinEnhanced,xgboost,5,0.08439001291990281,0.014410867066103826,0.1402682512998581,0.7794586097305789
10,A_EconOnly,ar1_honest,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,A_EconOnly,ensemble_lgbm_ridge_prior,5,0.12689465521394022,0.009862224230302733,0.18665828369239496,0.8351776338149467
10,A_EconOnly,lgbm,5,0.16308839205077302,0.00900995655863085,0.23753559459437223,0.8048950587374515
10,A_EconOnly,naive_persistence,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
10,A_EconOnly,ridge,5,0.1947617769241333,0.015128749823876205,0.27308922410011294,0.7238769715898545
10,A_EconOnly,xgboost,5,0.13462709933519362,0.011992865862124525,0.20275224447250367,0.8323507044785622
10,B_EconCrossDomain,ar1_honest,5,0.08172252774238586,0.029642980932277824,0.12845888063311578,0.902642860378213
